"incr_cost","incr_qaly","icer"
186195.164268978,0.158450234646722,1175101.85254137
174878.235660163,0.219315989555657,797380.236682575
200123.481303846,0.0410235989681988,4878252.67254051
185269.323645156,0.28596154721563,647881.94583887
191097.268439694,0.231483235432551,825533.944532132
208046.292817869,0.0820376787119165,2535984.63638208
180823.447616188,0.103841173769017,1741346.33742111
176718.168361129,0.322857518786923,547356.521307337
187640.606426061,0.231753695232542,809655.294763616
194021.334422259,0.175708305087861,1104224.03952528
198514.630231868,0.07870417142924,2522288.5474418
181452.155637005,0.158871938170403,1142128.41944676
150115.979013053,0.162902072235151,921510.555104288
173387.309614668,0.17198543758207,1008151.1089096
187996.883693245,0.00399064729714205,47109370.9102984
177274.961277299,0.38159941565684,464557.737784161
187574.857449973,0.161909181467055,1158518.96569646
182424.214891681,0.250701887539663,727653.934647063
185845.052778483,0.180261560840993,1030974.39027733
180312.114429684,0.0928549481145257,1941868.66818653
202227.356082457,0.250293036970711,807962.372944964
166178.519777003,0.116464145033802,1426864.20553529
195049.337157937,0.164406096278585,1186387.49762312
179441.925650137,0.105240169043483,1705070.67102861
175072.460584432,0.0266354622140629,6572908.67255904
198090.570969412,0.1142169640632,1734335.81074526
184586.048062663,0.0515605202505222,3579988.0832427
199407.518062917,0.140000033164709,1424339.07732233
172240.54988995,0.0608306348283183,2831477.10649516
189505.930190319,0.379448600344554,499424.507082752
194346.836298404,0.144986459677542,1340448.18206226
198221.955127312,0.143188498877733,1384342.71384165
174252.64136465,0.22363573761314,779180.658800086
203138.187492788,0.255086648403885,796349.74532714
191699.516781244,0.290639651079168,659577.989683956
172928.984323407,0.0273596594800068,6320582.47836658
183069.282196292,0.132639717497982,1380199.57859965
185314.128419133,0.0738286661604259,2510056.56822317
184282.360859052,0.186006192952903,990732.394085997
175591.94275729,0.334614331041518,524759.182342081
195035.879180374,0.090748807366604,2149183.93794945
183801.299766571,0.160548291272316,1144834.97961878
203466.360975479,0.0969631245339775,2098389.07268485
194173.213748199,0.331419139221913,585884.129094258
189823.803180537,-0.0310526810999763,-6112960.18431987
197223.673341799,0.191781313071759,1028377.94873166
215467.204424277,0.203725316397796,1057635.8806755
185625.022890322,0.219533667711914,845542.393679272
200570.891520545,0.213142383550571,941018.337973858
186631.370685135,0.217081252263132,859730.486808289
190697.82681066,0.226625212105539,841467.835987515
174649.396751784,0.288967467837833,604391.207282186
165922.304924718,0.077700195594163,2135416.82431985
184706.269307484,0.210331203205426,878168.652546933
198657.39029381,0.233481462818379,850848.662226951
213562.256135625,0.318299014308025,670948.531210203
173713.572917148,0.267277407776579,649937.360445959
215194.117175681,0.364477246512174,590418.521965247
181451.83012487,0.16128967236972,1125005.8820191
197997.083307934,0.0964094333670921,2053710.68362194
199043.045477141,0.173499937034796,1147222.58047403
187547.744091671,0.161043916584405,1164575.15483595
200872.186726988,0.221062274015981,908667.874792904
195186.124112754,0.164934635752427,1183415.01299785
191537.104624305,0.215000651715564,890867.553637465
208555.849291639,0.262293779052807,795123.125088115
190242.263022612,0.240208607739204,791987.701078386
186559.799123051,0.312591678292969,596816.268884171
175144.007392337,0.142983041017918,1224928.53799625
188305.133314219,0.393652208013472,478354.06351328
174149.344650531,0.295994974032506,588352.370575745
193850.303724455,0.109141346365172,1776139.93395187
195759.29915458,0.0602657137610951,3248269.81939693
178160.1667585,0.471084996001904,378191.129563762
169913.353566448,0.199608311925413,851233.858587708
206314.232298577,0.361794301211403,570252.85254016
180088.684344755,0.159988363489307,1125636.14263603
192408.497626924,0.217230136546753,885735.748665391
164894.229216888,0.0566144684231551,2912581.07352372
197100.71363662,0.119813862647512,1645057.66929894
183291.899941083,0.142063886029063,1290207.56129102
148299.325393895,-0.0763181524152244,-1943172.37381537
173957.868994589,0.100001411084837,1739554.14336114
192575.574908266,0.177753420495107,1083386.04327204
164148.085727294,0.106564761537146,1540359.90283783
225684.078254901,0.171480800587423,1316089.48338123
175474.823771405,0.129890367069726,1350945.62999586
195916.433071677,0.145175123213079,1349517.93899374
203338.590293277,0.186510090518981,1090228.36098288
182270.25716835,0.272112668431263,669833.779585284
198064.907865092,0.1305658905136,1516972.82564363
210761.265453424,0.108639879971521,1939999.0639595
185876.974378956,0.211914808586151,877130.652732986
194017.352070399,0.169924859292904,1141783.21452052
158719.419429185,0.236906948709278,669965.234426108
203916.804560672,0.348340927865657,585394.331381339
185355.251102956,0.223553604502847,829131.122779973
175708.30762651,0.141409705434513,1242547.72391051
174164.649328669,0.166331688528537,1047092.41437652
192855.859544566,0.0289296193124694,6666380.82795098
194770.644542431,0.385137863758369,505716.687115002
193977.427627337,0.101808103242261,1905324.05034353
207918.483106405,0.421374965800842,493428.65614061
185278.110845141,0.192122506109079,964374.83872893
200346.600626972,0.20792448288201,963554.64181032
209871.766458413,0.232728731621555,901787.093480533
192186.814839879,0.163303023941387,1176872.35791089
226105.652748426,0.242164363551727,933686.730087889
195289.019870328,0.200595816700761,973544.828014289
168511.944736912,0.16773792841407,1004614.43830958
169306.226759096,0.201636761103931,839659.523552001
197284.967923296,0.171998648936796,1147014.63728237
178019.888678444,0.284455857206036,625826.061122382
191617.993455306,0.232722113765051,823376.817764545
195123.311421309,0.261642379827629,745763.402510928
195546.857174507,0.0127595248386403,15325559.5053448
202373.256552336,0.364238715305419,555606.112278986
197284.645486229,0.248514587586583,793855.392563202
176233.673732213,0.304919006113277,577968.805482536
208309.661215001,0.183031147890901,1138110.44521869
207602.208456346,0.301237073869479,689165.532614013
159795.77638459,0.134622233530323,1186993.9473898
176685.95098993,0.376128333682789,469749.112649779
179678.74993758,0.195677955195585,918237.058221434
192893.519314608,0.233307714583373,826777.287065137
181550.810402114,0.183346749460566,990204.685582175
181038.516732888,0.196233167552475,922568.386327845
188556.186242661,0.142546648578161,1322768.28759866
196501.570532654,0.23650253047215,830864.558363757
188904.714569086,0.271600960724938,695522.998390266
212174.847982831,0.186951047986678,1134921.95025273
207694.639858054,0.275666533500844,753427.110721143
199130.032946986,0.303773888236065,655520.57190722
174635.599955773,0.195760940532419,892086.028401832
183917.205872077,0.316937089721508,580295.62281172
210147.085109803,0.21112655557769,995360.742445653
172661.805321659,0.136959203259853,1260680.56189015
165709.191567412,0.216147120614379,766650.007163629
221692.381546003,0.260234673419679,851894.094790669
183799.273264051,0.0212880582923614,8633914.41059716
194054.769024057,0.0722779610247575,2684840.1127086
197316.382540281,0.154713811901022,1275363.71908744
180238.914809094,0.219561237008739,820904.988806927
195395.296522925,0.0932565607663175,2095244.50523697
198321.810373666,0.128254458945531,1546315.13012653
218829.51405628,0.197196059580997,1109705.30811442
186989.252100946,-0.218983586883831,-853896.197253095
203470.916172933,0.330509691351332,615627.685049158
196309.450567976,0.16501544676718,1189642.87534214
192462.733642881,0.153120028874141,1256940.29094704
196209.679167276,0.0287361885179723,6827964.64272087
177966.27528862,0.140250377771253,1268918.33103566
191916.966334506,0.199952328554761,959813.610182317
184878.248296108,0.159838100505823,1156659.44296787
189734.504553061,0.0629827592470976,3012483.20685163
183642.900375896,0.178326787973681,1029811.07024145
202427.477926019,0.206339010497261,981043.174716135
182252.657298242,0.155223475817296,1174130.75785495
176893.530886558,0.149426557577362,1183815.8741961
205399.36255929,0.232054647870033,885133.585750576
184879.658183513,0.0698642252693776,2646270.7840911
188384.382216744,0.239112154195501,787849.462736717
192157.699973363,0.137164164589576,1400932.23728179
193998.614850379,0.174866489454883,1109409.9015491
198198.58139775,0.146473856496928,1353132.81248867
179287.808003137,0.189309234688475,947063.191598501
154929.06783233,0.136233020546977,1137235.79797533
166753.472853435,0.170454853019622,978285.275540025
190233.784361185,0.096346233809789,1974480.75382742
167862.823017299,0.059910539375019,2801891.36616742
205445.35457262,0.199560468632298,1029489.2369248
187658.262343645,0.232071181455371,808623.721251375
194569.537287857,0.119879988050156,1623036.00836574
188059.808665368,0.126797733248,1483148.0330768
210400.845786081,0.123784836634689,1699730.36687048
186495.053438044,0.29098865196085,640901.465336646
181284.943005982,0.347754350941245,521301.724954152
192069.038983643,0.245975428467478,780846.445436875
179724.535823804,0.0613579478918298,2929115.81952915
168274.513372424,0.29488286104959,570648.673081496
182167.598546082,0.369396497504474,493149.230641734
163697.454463339,0.388501009525698,421356.574242083
179805.400265159,0.170703972493298,1053317.02384499
166266.955089924,0.0507969604322972,3273167.40361909
185271.627044958,0.0992475073031295,1866763.52967825
157169.019268896,0.178705968671681,879483.883146891
163562.871524995,0.319822474917116,511417.690602834
182403.113601847,0.105874540306506,1722823.19312832
193193.336551374,0.18061928095151,1069616.35288117
183513.047522823,0.183843266352173,998203.802424196
178044.843860825,0.210496911171415,845831.14721259
186703.532372381,0.125555047904536,1487025.2967793
193597.783667049,0.41707621324722,464178.434343592
210887.952736305,0.338023711416563,623885.087387901
166279.252455206,0.236520499788268,703022.581992084
192658.277901394,0.223413431332909,862339.72931696
